n_components,mean_test_score,mean_train_score,mean_fit_time,best_n
1,0.611711825159132,0.616725741757796,0.05011828740437826,17
2,0.621587892447219,0.6439216024737996,0.21818081537882486,17
3,0.6620420447323861,0.7339464964207698,0.2978800932566325,17
4,0.6824158873589188,0.7732235968574402,0.35445594787597656,17
5,0.6860889996498967,0.8592757272047673,0.2446760336558024,17
6,0.634285422558662,0.9194545386048271,0.25572911898295086,17
7,0.6414308338273333,0.9929980028479317,0.242567777633667,17
8,0.6713383914151432,0.9994998547677002,0.2281030019124349,17
9,0.6835242578658715,1.0,0.2091829776763916,17
10,0.6933117038411425,1.0,0.20137317975362143,17
11,0.6809632502115952,1.0,0.18083699544270834,17
12,0.6902612941958123,1.0,0.18198092778523764,17
13,0.7050361828839244,1.0,0.18593692779541016,17
14,0.6993330439692568,1.0,0.5347959995269775,17
15,0.6924356757242707,1.0,0.5373170375823975,17
16,0.7003395216460652,1.0,0.511786142985026,17
17,0.7211604551347773,1.0,0.5080784956614176,17
18,0.7072717807268322,1.0,0.48607635498046875,17
19,0.7151078095717094,1.0,0.39001067479451496,17
20,0.714355126991129,1.0,0.3935403029123942,17
21,0.717692828695621,1.0,0.4434092044830322,17
22,0.7053972062509214,1.0,0.4450508753458659,17
23,0.7202736596888917,1.0,0.4248054027557373,17
24,0.6914374961486267,1.0,0.21228806177775064,17
