n_components,mean_test_score,mean_train_score,mean_fit_time,best_n
1,0.37385326853906153,0.38103686332502146,1.0513944625854492,7
2,0.3783418966776404,0.41559553769375013,1.0732274055480957,7
3,0.4097012157759641,0.456817090882396,1.0846110184987385,7
4,0.4171784006498199,0.510718598747522,1.0706035296122234,7
5,0.43744535750211405,0.536859336252545,1.0895696481068928,7
6,0.4721954767329976,0.5838107233674976,1.1204299132029216,7
7,0.4809428616593561,0.5926945834793838,1.1277510325113933,7
8,0.47881290933813664,0.6024030439347938,1.1145695845286052,7
9,0.46540737977322183,0.6294126511643295,0.9578761259714762,7
10,0.45598085718471326,0.6230010472539705,0.924295981725057,7
11,0.4613431459108475,0.49911447248051183,0.763206402460734,7
