n_components,mean_test_score,mean_train_score,mean_fit_time,best_n
1,0.5764706614243766,0.579934471504547,0.0449972947438558,22
2,0.5868879910608885,0.6082308947153656,0.17593765258789062,22
3,0.6167276615820538,0.6245293424610829,0.13537303606669107,22
4,0.6929778262249214,0.6914699133237187,0.13045326868693033,22
5,0.7141814184495746,0.7195271208157709,0.13254880905151367,22
6,0.7185082390182675,0.722414152088187,0.13494157791137695,22
7,0.7147348636344145,0.7425556104889445,0.14638900756835938,22
8,0.7076910583935593,0.7275981025342793,0.195924441019694,22
9,0.7327871891450913,0.7500314269208657,0.2616867224375407,22
10,0.7371208024852022,0.7413801334133252,0.17205500602722168,22
11,0.7325654706880077,0.7561254956298983,0.21414995193481445,22
12,0.731108374567248,0.7512633131409631,0.10515562693277995,22
13,0.7310951736626012,0.7621588546443273,0.2506590684254964,22
14,0.7353790783554222,0.7645742802687758,0.2712738513946533,22
15,0.7398280154424693,0.7551656547179931,0.2814317544301351,22
16,0.732606355010946,0.7522009990728366,0.27770431836446124,22
17,0.7443518746593379,0.7673458675050656,0.16623195012410483,22
18,0.7612040266214753,0.7692218027547492,0.23424879709879556,22
19,0.7601384357615226,0.7824897157834867,0.3120102882385254,22
20,0.7501536567064154,0.7884788736264307,0.2597016493479411,22
21,0.7611489064562337,0.7867937721995593,0.2943088213602702,22
22,0.7632123848807177,0.7815654219821592,0.1793969472249349,22
23,0.7582396545143104,0.7909038728611995,0.4002036253611247,22
24,0.7626353226401379,0.8047903358586224,0.24239778518676758,22
