n_components,mean_test_score,mean_train_score,mean_fit_time,best_n
1,0.4406959356987452,0.457530312254085,0.6751668453216553,11
2,0.4475243056539837,0.4591981481193808,0.7000126838684082,11
3,0.4393613339868728,0.4634390144441955,0.719368060429891,11
4,0.4463779395267721,0.4699249513971755,0.7096646626790365,11
5,0.47143160201876144,0.4850883674128504,0.7172011534372965,11
6,0.4686145940231854,0.49102122826606925,0.7471967538197836,11
7,0.46783841227960876,0.4943449147032901,0.7418599923451742,11
8,0.47111220560739353,0.49714789736471143,0.7640882333119711,11
9,0.4794598444554648,0.500043079640354,0.7666600545247396,11
10,0.47544455061860896,0.5024324953054485,0.7655683358510336,11
11,0.48330362149709366,0.5035646765304834,0.7493464152018229,11
