n_components,mean_test_score,mean_train_score,mean_fit_time,best_n
1,0.5764706614243766,0.5764704102820087,0.01369913419087728,4
2,0.6614130717842915,0.6636704004346464,0.15999404589335123,4
3,0.6632853064689729,0.713350437368712,0.17072931925455728,4
4,0.7056653744803622,0.7683803214456973,0.15959827105204263,4
5,0.686868069426973,0.8334178253198096,0.1607340176900228,4
6,0.6721459203745465,0.882962473618044,0.17021830876668295,4
7,0.6663087597497488,0.9353551099204562,0.17050560315450033,4
8,0.6658588452853031,0.9860327961369345,0.16853960355122885,4
9,0.6729057187407343,0.9994991405269511,0.17270652453104654,4
10,0.6737044836270571,1.0,0.1636179288228353,4
11,0.7039771112329428,1.0,0.17889960606892905,4
12,0.6943771949463422,1.0,0.16649111111958823,4
13,0.678147125908426,1.0,0.14888469378153482,4
14,0.6843955147156839,1.0,0.1450804869333903,4
15,0.6704605341681237,1.0,0.13918725649515787,4
16,0.6861997130457417,1.0,0.13595779736836752,4
17,0.671330526013337,1.0,0.1483290990193685,4
18,0.6902222758402583,1.0,0.14142950375874838,4
19,0.6975430089442031,1.0,0.13686561584472656,4
20,0.6913666861490908,1.0,0.13152194023132324,4
21,0.690162298853524,1.0,0.1258240540822347,4
22,0.6951954683197148,1.0,0.1319430669148763,4
23,0.670688596491228,1.0,0.1303581396738688,4
24,0.6885915429307348,1.0,0.12873625755310059,4
