n_components,mean_test_score,mean_train_score,mean_fit_time,best_n
1,0.43867224905457197,0.46164123590322714,0.767276922861735,11
2,0.4498546016648692,0.4672951871321474,0.7316138744354248,11
3,0.44496602775814964,0.466160203305607,0.7414286931355795,11
4,0.46736581195353366,0.492067240245697,0.7456583976745605,11
5,0.4781771569457332,0.49808403817771246,0.7562729517618815,11
6,0.4791526444002474,0.5090655794349562,0.7443931102752686,11
7,0.47620954910908286,0.5081953742455491,0.7639193534851074,11
8,0.4835350203251731,0.5128850574128685,0.801226536432902,11
9,0.49034193657810643,0.5180916880900964,0.7931262652079264,11
10,0.4975365974883593,0.5239584573628432,0.7614349524180094,11
11,0.49776665881269866,0.5300011610486017,0.7473904291788737,11
