n_components,mean_test_score,mean_train_score,mean_fit_time,best_n
1,0.39962207005439954,0.3818694535645748,0.6610720952351888,11
2,0.346328203719623,0.37608029441860163,0.6888806819915771,11
3,0.42114840258548175,0.42279956013107456,0.686115582784017,11
4,0.4017276947779019,0.4444291670219396,0.6943782170613607,11
5,0.4452428232828755,0.4558598799005525,0.7063496112823486,11
6,0.46101355276336725,0.4971018118252137,0.7136397361755371,11
7,0.4467509806973226,0.4989060842339515,0.6971741517384847,11
8,0.4750794537991364,0.5029729277761166,0.7060425281524658,11
9,0.48321743216096397,0.5114298932400333,0.7110805511474609,11
10,0.47378543058619754,0.512380640665588,0.7205259005228678,11
11,0.4863350294604759,0.5097826730834734,0.719616969426473,11
